"replicate","b1_mle","b2_mle","mu_mle","n_tries"
50,1.00892528004806,3.7163393024894,0.996231586050026,7
51,0.997377876906337,3.61972490953275,1.00578927804338,5
52,1.01044741125039,3.7432030919818,1.00258113274795,18
53,0.984627257210435,3.58815884869592,0.986534357189043,2
54,1.00442227102723,3.62055445854437,0.98362077821742,10
55,0.997956604129007,3.70136631000391,1.01032918025863,4
56,1.0119472205991,3.65188717332318,0.985567236705853,7
57,1.02247135867426,3.60425728770398,1.00377494357087,6
58,1.00918826723683,3.66173591661462,0.984805654756604,2
59,1.01581852781306,3.65905644306583,0.987374994764232,3
60,1.0006561959115,3.60379274347829,0.991949225772204,3
61,1.00128238812157,3.73148104845679,0.994142339846234,7
62,0.9902268560954,3.77929187998426,1.01395720914861,17
63,0.995661505461875,3.69529900876336,1.00264839103877,7
64,1.02276933535911,3.6375798481439,0.998980724031174,2
65,1.04660405603253,3.68936995742208,0.995052497088303,2
66,1.03421901608727,3.75851516962681,0.995372410594694,4
67,1.00921347379788,3.77123807056982,1.00140339726629,2
68,0.997023366119243,3.57942007926172,1.04224978393717,6
69,1.02100576178851,3.61178843856602,0.989493099404043,4
70,1.0204827233095,3.66247278406929,0.978193903793812,15
71,0.979176335007627,3.70855141185456,1.00554109859087,30
72,1.01242963601265,3.73323485049817,1.00206075104133,14
73,1.00584961456136,3.59481624906075,0.983340482051935,1
74,1.01001929346918,3.59231526029639,1.0092732754412,4
75,1.0243547366054,3.74465722026895,0.989901964486294,5
76,0.990619929482837,3.73164926375102,1.00982881099416,5
77,1.01120619554961,3.68062510934472,1.0100434784386,7
78,0.990071807429649,3.72358762403705,0.986620557411403,2
79,0.982329156429291,3.63411996910974,1.00006265895933,8
80,0.999261826385026,3.74279008002037,0.997362144494793,10
81,0.993142009552398,3.72086471732959,1.01542345853757,3
82,0.992648546380335,3.6958625993752,0.99288310671475,4
83,1.01884845581871,3.80296862905488,1.00741100064769,11
84,1.01425484947255,3.63904904783916,0.991513180996886,4
85,1.00462523265001,3.68175203359977,0.995368134562617,9
86,1.00407602425252,3.71655713694161,1.01408268605338,8
87,1.02018804940222,3.68416227427724,1.00093952115109,6
88,0.998118246448398,3.72634705184782,1.0046802559278,2
89,1.03974327185531,3.71136073827051,0.997258982324006,6
90,0.997001134961658,3.68247307963507,1.00131350215214,10
91,1.02194409608502,3.75765405009343,1.00740845799446,2
92,0.998373194646872,3.77965333161592,1.01923146107772,4
93,1.00502604983852,3.71268970173583,1.01122585550942,2
94,1.02219684741479,3.7145663333786,1.03026041523279,9
95,0.999253967218832,3.63455247828974,1.00269893593082,1
96,1.0276741814968,3.67210814091446,0.989484746288295,5
97,1.0476821452815,3.72220139083558,0.990553245950993,3
98,1.01485242973665,3.57284347176104,1.00873762862099,4
99,1.01587137073245,3.63501630964619,1.00591753079198,3
100,1.01291906887557,3.59431483718134,1.01535040715055,3
101,0.989431391932882,3.71048658267892,0.996247213515112,1
102,1.00970269387272,3.75683912008178,0.992314443300678,2
103,0.992954163721798,3.73203021573595,1.01666369883304,6
104,1.00268400123488,3.66625104165745,1.0306066953058,7
105,1.03271431573728,3.64050608099587,0.98208181779063,3
106,0.977435576796849,3.66112192258468,1.0009549082635,11
107,1.01771790086797,3.62641313978907,1.02333716051447,8
108,1.00809297815549,3.5785600619675,1.00452334542666,1
109,1.01733456719511,3.72712734498607,0.992845933530151,4
110,1.00233198268883,3.68202929422308,1.00329691694152,5
111,1.02180610950276,3.80191712779498,1.00017960262994,32
112,1.02004368543916,3.64187445043571,0.991621877182729,3
113,1.03138277128436,3.77326338840876,0.997800352635495,8
114,0.991453683033561,3.61357467700378,1.01133534192985,6
115,0.997667820231905,3.67435768011938,1.01277243613697,4
