"replicate","b1_unc","b2_unc","mu_unc","n_tries"
121,1.0100572050694,3.72903309667922,1.0028057153546,343
122,1.0211130705785,3.74869487342729,0.994502078091285,946
123,1.01260776367164,3.71057079310658,0.999504972907372,267
124,1.01071881262823,3.76247499710042,0.985377061475078,1150
125,1.01422381472773,3.69835774073383,0.990915375711765,293
126,1.00917608603964,3.7456882335422,1.00173684721058,229
127,1.0093396832737,3.73575476051777,0.990693171576877,348
128,1.00309799686903,3.7195843845565,0.998530711965925,17
129,1.01408547512977,3.68542374942427,0.989883706913712,202
130,1.02487805190012,3.66890157890411,1.0000775351039,1627
131,1.02206665344645,3.74397181750093,0.98826635085606,220
132,1.01261384252157,3.7064669415616,0.994633396172379,71
133,1.00181703074203,3.7496642570197,0.990545621937687,414
134,1.01676114201977,3.7000618270361,1.00027555439246,399
135,1.00932844625003,3.71076125857661,0.989083638954066,76
136,1.01187312245263,3.70508027454041,1.00097585410839,245
137,1.01922821278186,3.69341802111987,0.995320683030578,167
138,1.01491119315792,3.71490937446655,0.998722710187304,35
139,1.02018874985575,3.68377980861208,0.989582525244535,1791
140,1.01618941496377,3.7305388029999,0.997748801731334,448
141,1.01088340587592,3.73053190233276,1.0047013727863,2049
142,1.02810708228478,3.74291593411105,1.00389852251026,554
143,1.02267024486611,3.69297876839187,0.998295556676442,186
144,1.01122694874346,3.70224226956286,0.995608066390118,1564
145,1.01591518558513,3.66354488526718,0.998597237618834,422
146,1.01543469179278,3.75203131756454,0.998496664558139,79
147,1.0130712555326,3.70432655553844,0.997751652521191,16
148,1.0052170322202,3.71743850967674,0.997976238184584,1861
149,1.01948171198651,3.73239849116256,0.994360202116689,398
150,1.01593509201469,3.66916417597302,0.992646985873356,1108
151,1.02190723938134,3.67674370998012,0.993289471121942,917
152,1.02024615043502,3.71170819751895,0.991522212404273,105
153,1.00878464720409,3.72317582580157,0.997936339706755,365
154,1.01629879056443,3.68591889016634,0.999956682857648,591
155,1.01820447662525,3.67149157420687,0.995455232623229,509
156,1.02150538890701,3.71534212504597,0.994560413381532,358
157,1.01411417839481,3.76146213693817,0.99533646062032,215
158,1.02106266833915,3.69981092247355,0.998490110156126,312
159,1.01717109942942,3.73201079446093,1.00120219559274,217
160,1.01625066159971,3.69222006176763,1.00039588984223,1392
161,1.01625367893495,3.69160186262572,0.988473857339309,190
162,1.01788120816575,3.72461509205061,0.994730020535904,820
163,1.01790399072374,3.69393701860299,0.996300767431177,1852
164,1.01728369921803,3.69079129815996,1.00066849535127,844
165,1.02242479249874,3.73180857928196,0.99185013488852,2006
166,1.0063458147651,3.70985019901184,1.00171945069141,1477
167,1.0214010666049,3.76706025141247,0.994508208176404,229
168,1.00966143227961,3.68903197167895,0.997931162117383,147
169,1.02272224864103,3.69561862234214,0.990966285846418,152
